Type,Sub,Role,Code,Name,RPM,Atk Type,Atk Name,DMG,DUR,AP,DF,ST,PF,Status
Primary,NRG,explosive,PLAS-101,Purifier,1000,explosion,VOLATILE PLASMA BOLT_P_IE,75,75,3,10,10,7,
Primary,SG,shotgun,SG-20,Halt (Flechettes),80,projectile,10g FLECHETTES_P x11,35,10,3,10,20,20,
Primary,SG,shotgun,SG-8S,Slugger,80,projectile,10g RIFLED SLUGS_P,330,90,3,10,30,35,
Primary,SG,shotgun,SG-20,Halt (Stun),80,projectile,10g STUN ROUNDS_P x20,6,2,2,10,15,10,Stun Large
Primary,SG,shotgun,LAS-13,Trident,750,beam,LAS-13 TRIDENT B x6,60,6,2,10,10,10,
Primary,SG,shotgun,SG-225SP,Breaker Spray&Pray,330,projectile,12g BIRDSHOT_P x16,15,4,2,10,3,1,
Primary,SG,shotgun,SG-225,Breaker,300,projectile,12g BUCKSHOT_P x11,30,6,2,10,15,10,
Primary,SG,shotgun,SG-225IE,Breaker Incendiary,300,projectile,12g LIBERTY FIRE_P x12,20,10,2,10,10,10,Fire
Primary,SG,shotgun,M90A,UNSC Shotgun,80,projectile,BUCKSHOT_P x11,55,20,2,10,35,30,
Primary,SG,shotgun,SG-8,Punisher,80,projectile,BUCKSHOT_P1 x9,45,12,2,10,35,30,
Primary,SG,shotgun,DBS-2,Double Freedom,650,projectile,DBS-2 P x12,70,35,3,10,35,30,
Primary,SG,shotgun,SG-451,Cookout,80,projectile,SG-451_P x20,16,3,2,10,35,20,Fire
Primary,SG,shotgun,SG-97,Sweeper,150,projectile,SG-97 P x12,42,11,3,10,20,20,
Primary,SMG,automatic,SMG-32,Reprimand,490,projectile,12x25mm FULL METAL JACKET_P1,140,32,3,10,15,10,
Primary,SMG,automatic,SMG-37,Defender,520,projectile,12x25mm FULL METAL JACKET_P2,110,22,2,10,10,5,
Primary,SMG,automatic,MP-98,Knight,1380,projectile,9x20mm FULL METAL JACKET_P,90,18,2,10,10,5,
Primary,SMG,automatic,StA-11,StA SMG,1050,projectile,9x20mm FULL METAL JACKET_P,90,18,2,10,10,5,
Primary,SMG,automatic,M7S,UNSC SMG,872,projectile,M7S_P,90,18,2,10,10,5,
Primary,SMG,automatic,SMG-72,Pummeler,475,projectile,SMG-72_P,85,18,2,10,15,5,Stun Medium
Primary,SMG,automatic,SMG/FLAM-34,Stoker (SMG),420,projectile,12x25mm FULL METAL JACKET P3,130,30,2,10,15,10,
Primary,SMG,automatic,SMG/FLAM-34,Stoker (Flamer),,spray,SMG/FLAM-34 STOKER 0 S,2,2,4,10,5,5,Fire
Primary,SPC,special,JAR-5,Dominator,250,projectile,15x100mm STANDARD ROCKET_P,275,90,3,10,35,15,
Primary,SPC,special,FLAM-66,Torcher,,spray,FLAM-66 TORCHER_S,2,2,4,10,5,5,Fire
Primary,SPC,special,VG-70,Variable,750,projectile,VG-70_P (Auto),85,23,2,10,10,4,
Primary,SPC,special,VG-70,Variable,750,projectile,VG-70_P (Volley x7),595,161,2,10,10,4,
Primary,SPC,special,VG-70,Variable,750,projectile,VG-70_P (Total x49),4165,1127,2,10,10,4,
Secondary,CQC,special,CQC-19,Stun Lance,,melee,CQC-19_M,165,83,3,10,35,30,Stun Large
Secondary,CQC,special,CQC-2,Saber,,melee,CQC-2_M,188,98,3,10,25,30,
Secondary,CQC,special,CQC-30,Stun Baton,,melee,CQC-30_M,75,38,3,10,35,30,Stun Large
Secondary,CQC,special,CQC-42,Machete,,melee,CQC-42_M,300,150,3,10,30,10,
Secondary,CQC,special,CQC-5,Combat Hatchet,,melee,CQC-5_M,240,120,3,10,25,30,
Secondary,CQC,special,CQC-73,Entrenchment Tool,,melee,CQC-73_M,165,83,3,10,25,30,
Secondary,PDW,precision,P-113,Verdict,450,projectile,12x25mm FULL METAL JACKET_P,140,32,3,10,15,10,
Secondary,PDW,precision,P-4,Senator,200,projectile,13x40mm FULL METAL JACKET_P,225,75,4,10,20,10,
Secondary,PDW,precision,P-19,Redeemer,1100,projectile,9x20mm FULL METAL JACKET_P1,70,12,2,10,10,4,
Secondary,PDW,precision,P-2,Peacemaker,900,projectile,9x20mm HOLLOW POINT_P,100,32,2,10,10,4,
Secondary,PDW,precision,P-92,Warrant,450,projectile,Guided_P,80,20,3,10,15,10,
Secondary,PDW,precision,P-69,Veto,750,projectile,15x100mm STANDARD ROCKET P1,105,35,3,10,35,15,
Secondary,PDW,precision,M6C,SOCOM Pistol,,projectile,M6C/SOCOM_P,125,28,2,10,15,10,
Secondary,SPC,special,GP-31,Grenade Pistol,900,projectile,40mm HEAT GRENADE_P,250,250,3,30,40,10,
Secondary,SPC,special,GP-31,Grenade Pistol,900,explosion,40mm HEAT GRENADE_P_IE,400,400,3,30,25,30,
Secondary,SPC,special,P-35,Re-Educator,110,projectile,P-35_P,60,10,4,1,1,1,Gas • Gas_Confusion
Secondary,SG,shotgun,SG-22,Bushwhacker,650,projectile,BUCKSHOT_P1 x9,45,12,2,10,35,30,
Secondary,SPC,special,GP-20,Ultimatum,900,projectile,GP-20_P,1000,1000,6,40,50,20,
Secondary,SPC,special,GP-20,Ultimatum,900,explosion,GP-20_P_IE,2000,2000,6,40,70,60,
Secondary,SPC,special,LAS-7,Dagger,,beam,LAS-7 DAGGER_B,250,50,2,10,0,0,Fire
Secondary,SPC,special,LAS-58,Talon,,projectile,LASER_P1,200,20,3,10,10,10,
Secondary,SPC,special,P-11,Stim Pistol,70,projectile,P-11_P,,,0,,,,
Secondary,SPC,special,P-72,Crisper,,spray,P-72 CRISPER_S,2,2,4,10,5,5,Fire
Secondary,SPC,special,PLAS-15,Loyalist (Uncharged),1000,projectile,SMALL PLASMA BOLT_P1,150,75,3,10,20,10,
Secondary,SPC,special,PLAS-15,Loyalist (Uncharged),1000,explosion,SMALL PLASMA BOLT_P1_IE,75,75,3,10,10,7,
Secondary,SPC,special,PLAS-15,Loyalist (Charged),80,projectile,SMALL PLASMA BOLT_P2,150,75,3,10,20,10,
Secondary,SPC,special,PLAS-15,Loyalist (Charged),80,explosion,SMALL PLASMA BOLT_P2_IE,225,225,3,10,35,30,
Stratagem,BCK,special,AX/AR-23,"""GUARD DOG""",,projectile,5.5x50mm PENETRATOR_P,65,15,3,10,10,10,
Stratagem,BCK,special,AX/ARC-3,"""GUARD DOG"" K-9",12,arc,"AX/ARC-3 ""GUARD DOG"" K-9_A",250,45,7,10,30,25,Stun Small
Stratagem,BCK,special,AX/LAS-5,"""GUARD DOG"" ROVER",,beam,"AX/LAS-5 ""GUARD DOG"" ROVER_B",200,40,2,10,0,0,Fire
Stratagem,BCK,special,AX/TX-13,"""GUARD DOG"" DOG BREATH",,spray,"AX/TX-13 ""GUARD DOG"" DOG BREATH_S",1,1,5,5,10,5,Gas • Gas_Confusion
Stratagem,EGL,ordnance,-,EAGLE AIRSTRIKE,,projectile,100KG BOMB_P,1500,1500,7,40,20,15,
Stratagem,EGL,ordnance,-,EAGLE AIRSTRIKE,,explosion,100KG BOMB_P_IE,800,800,5,40,50,40,
Stratagem,EGL,ordnance,-,EAGLE SMOKE STRIKE,,projectile,100KG BOMB_P1,1500,1500,7,40,20,15,
Stratagem,EGL,ordnance,-,EAGLE SMOKE STRIKE,,explosion,100KG BOMB_P1_IE,,,0,,,,
Stratagem,EGL,ordnance,-,EAGLE CLUSTER BOMB,,projectile,100KG CLUSTER BOMB_P,1500,1500,7,40,20,15,
Stratagem,EGL,ordnance,-,EAGLE CLUSTER BOMB,,explosion,100KG CLUSTER BOMB_P_E,350,350,3,30,50,40,
Stratagem,EGL,ordnance,-,EAGLE 110MM ROCKET PODS,,projectile,110mm STANDARD ROCKET_P,600,600,7,40,40,15,
Stratagem,EGL,ordnance,-,EAGLE 110MM ROCKET PODS,,explosion,110mm STANDARD ROCKET_P_IE,200,200,3,30,30,40,
Stratagem,EGL,ordnance,-,EAGLE 500KG BOMB,,projectile,500kg BOMB_P,2000,2000,7,50,20,15,
Stratagem,EGL,ordnance,-,EAGLE 500KG BOMB,,explosion,500kg BOMB_P_E,1500,1500,6,50,100,40,
Stratagem,EGL,ordnance,-,EAGLE 500KG BOMB,,explosion,500kg BOMB_P_IE,100,100,3,40,10,40,
Stratagem,EGL,ordnance,-,EAGLE CLUSTER BOMB,,projectile,CLUSTER BOMB_P4 x8,20,2,0,10,40,10,
Stratagem,EGL,ordnance,-,EAGLE CLUSTER BOMB,,explosion,CLUSTER BOMB_P4_IE x64,350,350,3,30,50,40,
Stratagem,EGL,ordnance,-,EAGLE NAPALM AIRSTRIKE,,projectile,NAPALM BOMB_P,1500,1500,7,40,20,15,
Stratagem,EGL,ordnance,-,EAGLE NAPALM AIRSTRIKE,,explosion,NAPALM BOMB_P_IE,250,250,3,30,50,40,Fire • BurningHeavy
Stratagem,EMP,automatic,A/G-16,Gatling Sentry,1600,projectile,8x60mm FULL METAL JACKET_P1,90,23,3,10,20,12,
Stratagem,EMP,automatic,A/MG-43,Machine Gun Sentry,630,projectile,8x60mm FULL METAL JACKET_P1,90,23,3,10,20,12,
Stratagem,EMP,ordnance,-,ANTI-PERSONNEL MINEFIELD,,explosion,ANTI-PERSONNEL MINEFIELD_E,700,700,3,30,30,30,
Stratagem,EMP,ordnance,-,ANTI-TANK MINES,,explosion,ANTI-TANK MINES_E,2000,2000,5,30,30,40,
Stratagem,EMP,ordnance,E/AT-12,Anti-Tank Emplacement,60,projectile,ET Cannon 75mm APHE ,1300,1300,6,30,50,25,
Stratagem,EMP,ordnance,E/AT-12,Anti-Tank Emplacement,60,explosion,ET Cannon 75mm APHE IE,150,150,3,30,60,40,
Stratagem,EMP,ordnance,-,GAS MINES,,explosion,GAS MINES_E,3,3,6,30,10,10,Gas • Gas_Confusion
Stratagem,EMP,ordnance,-,INCENDIARY MINES,,explosion,INCENDIARY MINES_E,300,300,3,30,30,30,Fire
Stratagem,EMP,automatic,E/MG-101,HMG Emplacement,600,projectile,Rifle 12.5x100mm Full Metal Jacket ,200,40,4,20,25,15,
Stratagem,ORB,ordnance,-,ORBITAL AIRBURST STRIKE,,projectile,110mm AIRBURST CANNON ROUND_P,300,300,7,50,60,15,
Stratagem,ORB,ordnance,-,ORBITAL AIRBURST STRIKE,,explosion,110mm AIRBURST CANNON ROUND_P_IE,350,350,3,30,50,40,
Stratagem,ORB,ordnance,-,ORBITAL EMS STRIKE,,projectile,110mm E.M.S. CANNON ROUND_P,300,300,7,50,60,15,
Stratagem,ORB,ordnance,-,ORBITAL EMS STRIKE,,explosion,110mm E.M.S. CANNON ROUND_P_IE,0,0,4,30,50,0,Stun Medium
Stratagem,ORB,ordnance,-,ORBITAL GAS STRIKE,,projectile,110mm GAS CANNON ROUND_P,300,300,7,50,60,15,
Stratagem,ORB,ordnance,-,ORBITAL GAS STRIKE,,explosion,110mm GAS CANNON ROUND_P_IE,0,0,6,50,10,40,Gas • Gas_Confusion
Stratagem,ORB,ordnance,-,ORBITAL 120MM HE BARRAGE,,projectile,120mm HE CANNON ROUND_P,2500,2500,7,50,20,20,
Stratagem,ORB,ordnance,-,ORBITAL 120MM HE BARRAGE,,explosion,120mm HE CANNON ROUND_P_IE,750,750,5,50,70,40,
Stratagem,ORB,ordnance,-,ORBITAL NAPALM BARRAGE,,projectile,120mm HE CANNON ROUND_P2,500,500,5,30,20,15,
Stratagem,ORB,ordnance,-,ORBITAL NAPALM BARRAGE,,explosion,120mm HE CANNON ROUND_P2_IE,350,350,3,30,50,40,Fire • BurningHeavy
Stratagem,ORB,ordnance,-,ORBITAL GATLING BARRAGE,,projectile,23mm HE CANNON_P1,350,200,5,30,35,3,
Stratagem,ORB,ordnance,-,ORBITAL GATLING BARRAGE,,explosion,23mm HE CANNON_P1_IE,350,350,3,30,35,5,
Stratagem,ORB,ordnance,-,ORBITAL PRECISION STRIKE,,projectile,380mm HE CANNON ROUND_P,3500,3500,8,50,50,20,
Stratagem,ORB,ordnance,-,ORBITAL PRECISION STRIKE,,explosion,380mm HE CANNON ROUND_P_IE,1000,1000,6,50,70,60,
Stratagem,ORB,ordnance,-,ORBITAL 380MM HE BARRAGE,,projectile,380mm HE CANNON ROUND_P1,3500,3500,8,50,50,20,
Stratagem,ORB,ordnance,-,ORBITAL WALKING BARRAGE,,projectile,380mm HE CANNON ROUND_P1,3500,3500,8,50,50,20,
Stratagem,ORB,ordnance,-,ORBITAL 380MM HE BARRAGE,,explosion,380mm HE CANNON ROUND_P1_IE,1000,1000,6,50,70,60,
Stratagem,ORB,ordnance,-,ORBITAL WALKING BARRAGE,,explosion,380mm HE CANNON ROUND_P1_IE,1000,1000,6,50,70,60,
Stratagem,ORB,ordnance,-,ORBITAL LASER,,spray,ORBITAL LASER_DPS,60,60,6,50,30,30,Fire
Stratagem,ORB,ordnance,-,ORBITAL RAILCANNON STRIKE,,projectile,RAIL CANNON ROUND_P,7500,7500,7,50,60,35,
Stratagem,ORB,ordnance,-,ORBITAL RAILCANNON STRIKE,,explosion,RAIL CANNON ROUND_P_E,1000,1000,6,50,30,50,
Stratagem,ORB,ordnance,-,ORBITAL SMOKE STRIKE,,projectile,S_P,300,300,7,50,60,15,
Stratagem,ORB,ordnance,-,ORBITAL SMOKE STRIKE,,explosion,S_P_IE,,,0,,,,
Stratagem,ORB,ordnance,-,ORBITAL AIRBURST STRIKE,,projectile,SHRAPNEL_P1 x12,300,150,3,10,10,20,
Stratagem,ORB,ordnance,-,ORBITAL AIRBURST STRIKE,,explosion,SHRAPNEL_P1_IE x12,350,350,3,30,50,40,
Stratagem,VHL,ordnance,EXO-45,Emancipator Exosuit (AC),,projectile,30mm APHE CANNON P,300,150,5,30,30,10,
Stratagem,VHL,ordnance,EXO-45,Emancipator Exosuit (AC),,explosion,30mm APHE CANNON P IE ,150,150,3,30,40,40,
Stratagem,VHL,ordnance,EXO-45,Patriot Exosuit (MG),,projectile,8x60mm FULL METAL JACKET_P1,90,23,3,10,20,12,
Stratagem,VHL,ordnance,EXO-45,Patriot Exosuit (Missile),,explosion,Missile Exosuit ,400,400,3,30,60,70,
Stratagem,VHL,ordnance,EXO-45,Patriot Exosuit (Missile),,projectile,Missile Exosuit ,1250,1250,6,30,40,25,
Support,CAN,precision,APW-1,Anti-Materiel Rifle,400,projectile,12.5mm EIT ROUNDS_P,450,225,4,20,25,25,
Support,CAN,precision,AC-8,Autocannon (APHET),190,projectile,20mm APHET ROUNDS_P,325,260,4,30,30,20,
Support,CAN,precision,AC-8,Autocannon (APHET),190,explosion,20mm APHET ROUNDS_P_IE,150,150,3,30,40,40,
Support,CAN,precision,AC-8,Autocannon (FLAK),190,projectile,20mm FLAK ROUNDS_P,150,150,2,20,30,30,
Support,CAN,precision,AC-8,Autocannon (FLAK),190,explosion,20mm FLAK ROUNDS_P_IE,190,190,3,20,25,40,
Support,CAN,precision,LAS-98,Laser Cannon,,beam,LAS-98 LASER CANNON_B,350,200,4,20,0,0,Fire
Support,CAN,precision,LAS-99,Quasar Cannon,10,projectile,LASER_P2,2000,2000,6,30,50,40,
Support,CAN,precision,LAS-99,Quasar Cannon,10,explosion,LASER_P2_IE,150,150,3,30,50,40,
Support,CAN,precision,RS-422,Railgun (Safe),60,projectile,RAILGUN ROUND_P1,600,225,5,10,35,15,
Support,CAN,precision,RS-422,Railgun (Unsafe),60,projectile,RAILGUN ROUND_P2,1500,560,5,10,35,15,
Support,CAN,precision,S-11,Speargun,60,projectile,S-11_P,650,275,5,30,80,35,Gas • Gas_Confusion
Support,CAN,precision,AC-8,Autocannon (FLAK),190,projectile,SHRAPNEL_P x30,110,35,3,10,10,20,
Support,CQC,special,CQC-1,One True Flag,,melee,CQC-1_M,200,100,3,10,35,30,Stun Large
Support,CQC,special,CQC-9,Defoliation Tool,,melee,CQC-9_M,450,225,3,10,10,30,DMG/DUR/AP increases over time
Support,CQC,special,CQC-20,Breaching Hammer,,melee,CQC-20_M,300,150,3,30,40,10,
Support,CQC,special,CQC-20,Breaching Hammer,,explosion,CQC-20_M_IE,2200,2200,6,30,50,40,
Support,GL,explosive,GL-21,Grenade Launcher,160,projectile,40mm HE GRENADE_P,0,0,4,10,30,10,
Support,GL,explosive,GL-21,Grenade Launcher,160,explosion,40mm HE GRENADE_P_IE,400,400,3,30,25,30,
Support,GL,explosive,GL-28,Belt-Fed Grenade Launcher,240,projectile,GL_28_P,0,0,4,10,30,10,
Support,GL,explosive,GL-28,Belt-Fed Grenade Launcher,240,explosion,GL_28_P_IE,150,150,4,30,20,20,
Support,GL,explosive,GL-52,De-Escalator,200,projectile,GL-52_P,20,2,0,10,40,10,
Support,GL,explosive,GL-52,De-Escalator,200,explosion,GL-52_P_IE,0,0,5,0,0,0,
Support,GL,explosive,GL-52,De-Escalator,200,arc,GL-52_P_IE_A,100,70,4,20,35,10,Stun Small
Support,MG,automatic,MG-206,Heavy Machine Gun,750,projectile,12.5mm BCHP RIFLE ROUNDS_P,150,35,4,15,25,20,
Support,MG,automatic,M-105,Stalwart,1150,projectile,5.5x50mm FULL METAL JACKET_P,90,22,2,10,15,10,
Support,MG,automatic,MG-43,Machine Gun,900,projectile,8x60mm FULL METAL JACKET_P1,90,23,3,10,20,12,
Support,MG,automatic,M-1000,Maxigun,1500,projectile,8x60mm HIGH VELOCITY P,80,18,3,10,15,12,
Support,RL,ordnance,EAT-700,Expendable Napalm,600,projectile,20mm FLAK ROUNDS_P1 x20,200,200,0,30,50,25,
Support,RL,ordnance,EAT-700,Expendable Napalm,600,explosion,20mm FLAK ROUNDS_P1_IE x20,50,50,3,30,50,25,BurningHeavy • Fire
Support,RL,ordnance,RL-77,Airburst Rocket Launcher (Flak),600,projectile,20mm FLAK ROUNDS_P2,350,350,3,30,50,40,
Support,RL,ordnance,RL-77,Airburst Rocket Launcher (Flak),600,explosion,20mm FLAK ROUNDS_P2_IE,150,150,3,25,25,40,
Support,RL,ordnance,MLS-4X,Commando,240,projectile,66mm MISSILE_P,1100,1100,6,30,40,25,
Support,RL,ordnance,MLS-4X,Commando,240,explosion,66mm MISSILE_P_IE,150,150,3,30,40,40,
Support,RL,ordnance,MS-11,Solo Silo,,explosion,SWP SOLO SILO EImpact,1500,1500,9,40,100,40,
Support,RL,ordnance,MS-11,Solo Silo,,explosion,SWP SOLO SILO E,2500,2500,7,40,100,40,
Support,RL,ordnance,MS-11,Solo Silo,,explosion,15x100mm HIGH EXPLOSIVE P IE,225,225,3,20,35,40,
Support,RL,ordnance,MS-11,Solo Silo,,projectile,SHRAPNEL_P x30,110,35,3,10,10,20,
Support,RL,ordnance,EAT-17,Expendable Anti-Tank,600,projectile,75mm HEAT GRENADE_P,2000,2000,6,30,50,25,
Support,RL,ordnance,EAT-17,Expendable Anti-Tank,600,explosion,75mm HEAT GRENADE_P_IE,150,150,3,30,60,40,
Support,RL,ordnance,EAT-411,Leveller,600,projectile,EAT-411_P,1000,1000,6,40,50,20,
Support,RL,ordnance,EAT-411,Leveller,600,explosion,EAT-411_P_IE,2500,2500,6,40,100,40,
Support,RL,ordnance,GR-8,Recoilless Rifle (HEAT),600,projectile,85mm HEAT GRENADE_P,3200,3200,6,30,50,25,
Support,RL,ordnance,GR-8,Recoilless Rifle (HEAT),600,explosion,85mm HEAT GRENADE_P_IE,150,150,3,30,50,40,
Support,RL,ordnance,GR-8,Recoilless Rifle (HE),600,projectile,85mm HIGH-EXPLOSIVE GRENADE_P,750,750,5,30,50,25,
Support,RL,ordnance,GR-8,Recoilless Rifle (HE),600,explosion,85mm HIGH-EXPLOSIVE GRENADE_P_IE,800,800,4,30,60,40,
Support,RL,ordnance,StA-X3,W.A.S.P. Launcher (Artillery),500,projectile,Artillery_P,20,2,0,10,40,10,
Support,RL,ordnance,StA-X3,W.A.S.P. Launcher (Artillery),500,explosion,Artillery_P_IE,600,600,3,30,25,50,
Support,RL,ordnance,StA-X3,W.A.S.P. Launcher (Missle),500,projectile,Burst_P,200,200,6,30,35,25,
Support,RL,ordnance,StA-X3,W.A.S.P. Launcher (Missle),500,explosion,Burst_P_IE,600,600,3,30,25,50,
Support,RL,ordnance,RL-77,Airburst Rocket Launcher (Flak),600,projectile,CLUSTER BOMB_P1 x25,150,150,3,25,25,40,
